text,label
"Are Leftovers at Restaurants Over?",2
"March Madness bracket 2025: Contenders with easiest, most difficult paths in NCAA Tournament",1
"Speech-to-Speech Foundation Models Pave the Way for Seamless Multilingual Interactions",5
"A federal judge says the USAID shutdown likely violated the Constitution",2
"It's bracket time: Make your picks for the men's tournament",0
"DOGE Broke Into the Offices of a Pro-Peace Nonprofit: Report",3
"Trump Says a Recession Would Be Worth It, but Economists Are Skeptical",3
"Cavaliers vs. Clippers odds, line, spread: 2025 NBA picks, March 18 predictions from proven model",0
"NASA’s Next Mission Could Finally Solve the Mystery of Our Solar System’s Edge",3
"Author Correction: Endocytosis in the axon initial segment maintains neuronal polarity",2
"North Carolina vs. San Diego State odds, prediction, spread, time: 2025 First Four picks from proven model",0
"Oracle is reportedly in the lead to save TikTok from US ban",2
"Cavallo reveals daily death threats for being gay",0
"NFL free agency grades for all 32 teams, plus ranking each AFC team and why Falcons kept Kirk Cousins",0
"March Madness 2025 bracket: NCAA Tournament picks, predictions from acclaimed college basketball model",0
"Boxing schedule for 2025: Sebastian Fundora vs. Chordale Booker, Mikaela Mayer vs. Sandy Ryan on deck",0
"2025 NCAA Tournament schedule: March Madness bracket, game dates, locations, tip times, TV channels",0
"Before-and-After Satellite Images Show Upsetting Glacier Loss in Swiss Alps",2
"Firing federal employees was swift. Unwinding the terminations is proving complicated",2
"Kremlin says it will halt strikes on Ukraine energy sector after Trump and Putin talk",3
"Kendall unveils crackdown on benefits aimed at saving £5bn a year by 2030",1
"Google Seals $32 Billion Deal for Cyber Start-Up Wiz",3
"4 things to know about Judge Boasberg as he battles Trump over deportation flights",1
"Disney+ Is Adding a 24/7 Simpsons Channel",1
"For Tina Louise, Escape, Finally, From ‘Gilligan’s Island’",1
"Vibrations at the Atomic Scale Expose Mysterious Phase Transitions",1
"Harshita Brella murder suspect's parents arrested",0
"HTTrack Website Copier",1
"Structures and mechanism of human mitochondrial pyruvate carrier",1
"Stephen King’s Cujo Gets an Unexpected Yet Exciting Director",2
"Show HN: I converted my notebook into a searchable database of IT keywords",4
"Magic: The Gathering‘s New Expansion Wants You to Behold Some Dragons",1
"Mateta speaks on his horror injury against Millwall in TV exclusive",0
"Courts Defer to Executive Branch Factual Claims. Trump Complicates That.",0
"MemQ: Enhancing Knowledge Graph Question Answering with Memory-Augmented Query Reconstruction",2
"Prince William pays tribute to last Battle of Britain pilot who has died at 105",1
"New Study Confirms Antidepressants Work for Anxiety – But the Long-Term Story Is Unwritten",4
"The Unlikely Friendship That Saved Lucy’s, a Homey New York Tavern",2
